base_date,emd_nm,tot_cnt,m_cnt,w_cnt
2018,동춘동,705,181,524
2018,선학동,701,225,476
2018,송도동,641,188,453
2018,연수동,2296,639,1657
2018,옥련동,1066,287,779
2018,청학동,1024,344,680
2019,동춘동,851,214,637
2019,선학동,774,260,514
2019,송도동,772,229,543
2019,연수동,2500,714,1786
2019,옥련동,1157,333,824
2019,청학동,1154,396,758
2020,동춘동,954,244,710
2020,선학동,872,316,556
2020,송도동,1839,992,847
2020,연수동,2767,829,1938
2020,옥련동,1266,359,907
2020,청학동,1309,456,853
2021,동춘동,1022,248,774
2021,선학동,952,344,608
2021,송도동,1158,339,819
2021,연수동,2959,911,2048
2021,옥련동,1382,402,980
2021,청학동,1428,508,920
