,year,dong,pop
0,2013,선학동,20812.0
1,2014,선학동,20522.0
2,2015,선학동,20126.0
3,2016,선학동,19679.0
4,2017,선학동,19482.0
5,2018,선학동,18798.0
6,2019,선학동,18323.0
7,2020,선학동,17689.0
8,2021,선학동,17296.0
9,2022,선학동,17012.0
10,2013,청학동,30868.0
11,2014,청학동,30755.0
12,2015,청학동,30227.0
13,2016,청학동,29650.0
14,2017,청학동,28919.0
15,2018,청학동,27716.0
16,2019,청학동,26516.0
17,2020,청학동,25590.0
18,2021,청학동,24891.0
19,2022,청학동,24629.0
20,2013,동춘동,59575.0
21,2014,동춘동,58857.0
22,2015,동춘동,58510.0
23,2016,동춘동,57096.0
24,2017,동춘동,56343.0
25,2018,동춘동,57806.0
26,2019,동춘동,61872.0
27,2020,동춘동,64428.0
28,2021,동춘동,62780.0
29,2022,동춘동,61722.0
30,2013,송도동,65121.0
31,2014,송도동,78431.0
32,2015,송도동,86297.0
33,2016,송도동,103650.0
34,2017,송도동,116124.0
35,2018,송도동,126949.0
36,2019,송도동,144395.0
37,2020,송도동,163762.0
38,2021,송도동,188166.0
39,2022,송도동,188914.0
40,2013,연수동,72264.0
41,2014,연수동,71867.0
42,2015,연수동,70412.0
43,2016,연수동,68606.0
44,2017,연수동,66907.0
45,2018,연수동,64201.0
46,2019,연수동,61765.0
47,2020,연수동,59648.0
48,2021,연수동,57500.0
49,2022,연수동,55757.0
50,2013,옥련동,46946.0
51,2014,옥련동,46322.0
52,2015,옥련동,45744.0
53,2016,옥련동,45422.0
54,2017,옥련동,45074.0
55,2018,옥련동,44148.0
56,2019,옥련동,42347.0
57,2020,옥련동,41449.0
58,2021,옥련동,40194.0
59,2022,옥련동,39269.0
