base_date,center,store_type,close_cnt
2018,신도심,건강,23
2018,신도심,기타,55
2018,신도심,동물,5
2018,신도심,문화,7
2018,신도심,생활,67
2018,신도심,식품,550
2018,원도심,건강,24
2018,원도심,기타,76
2018,원도심,동물,2
2018,원도심,문화,33
2018,원도심,생활,110
2018,원도심,식품,505
2019,신도심,건강,17
2019,신도심,기타,51
2019,신도심,동물,6
2019,신도심,문화,6
2019,신도심,생활,101
2019,신도심,식품,681
2019,원도심,건강,28
2019,원도심,기타,99
2019,원도심,동물,4
2019,원도심,문화,19
2019,원도심,생활,130
2019,원도심,식품,481
2020,신도심,건강,19
2020,신도심,기타,47
2020,신도심,문화,5
2020,신도심,생활,152
2020,신도심,식품,456
2020,원도심,건강,23
2020,원도심,기타,79
2020,원도심,동물,2
2020,원도심,문화,38
2020,원도심,생활,176
2020,원도심,식품,485
2021,신도심,건강,21
2021,신도심,기타,88
2021,신도심,동물,11
2021,신도심,문화,9
2021,신도심,생활,257
2021,신도심,식품,453
2021,원도심,건강,20
2021,원도심,기타,107
2021,원도심,동물,5
2021,원도심,문화,17
2021,원도심,생활,250
2021,원도심,식품,457
