base_date,emd_nm,total_hshld,1p_hshld
2018,동춘동,18764,2746
2018,선학동,8140,3144
2018,송도동,45995,8838
2018,연수동,27971,11326
2018,옥련동,16351,4313
2018,청학동,12585,5333
2019,동춘동,21837,3513
2019,선학동,8021,3231
2019,송도동,54829,12385
2019,연수동,27415,11452
2019,옥련동,16198,4424
2019,청학동,12400,5553
2020,동춘동,22037,3849
2020,선학동,8037,3364
2020,송도동,66092,15923
2020,연수동,27335,11911
2020,옥련동,16229,4723
2020,청학동,12536,5928
2021,동춘동,22135,4049
2021,선학동,8205,3574
2021,송도동,69540,17496
2021,연수동,27159,12101
2021,옥련동,16263,4972
2021,청학동,12682,6222
