base_date,emd_nm,total_pop,total_youth_pop,total_adult_pop,total_senior_pop,senior_rate,youth_rate,adult_rate
2018,동춘동,57519,12627,36268,8624,14.99330655957162,21.95274604913159,63.053947391296795
2018,선학동,18604,2407,12026,4171,22.41990969683939,12.938077832724145,64.64201247043646
2018,송도동,136304,37869,86390,12045,8.836864655475994,27.782750322807843,63.380385021716165
2018,연수동,63250,10085,41170,11995,18.964426877470355,15.944664031620553,65.0909090909091
2018,옥련동,43412,8402,27241,7769,17.895973463558462,19.35409564175804,62.749930894683494
2018,청학동,27270,3826,17648,5796,21.254125412541256,14.03006967363403,64.71580491382471
2019,동춘동,64546,13583,40745,10218,15.830570445883557,21.04390667121123,63.125522882905216
2019,선학동,17950,2185,11285,4480,24.958217270194986,12.172701949860725,62.869080779944284
2019,송도동,155651,42065,98989,14597,9.3780316220262,27.025203821369605,63.5967645566042
2019,연수동,60551,8954,38871,12726,21.016993938993576,14.787534475070602,64.19547158593582
2019,옥련동,41912,7646,26088,8178,19.51231150983012,18.242985302538653,62.244703187631224
2019,청학동,25940,3376,16407,6157,23.735543562066308,13.014649190439476,63.24980724749422
2020,동춘동,63419,12843,39531,11045,17.415916365757898,20.251028871473846,62.333054762768256
2020,선학동,17325,1986,10560,4779,27.584415584415584,11.463203463203463,60.952380952380956
2020,송도동,182405,48188,116020,18197,9.97615196951838,26.41813546777775,63.60571256270388
2020,연수동,58337,7981,36689,13667,23.42767026072647,13.680854346298233,62.891475392975295
2020,옥련동,40681,7087,24827,8767,21.550601017674097,17.420909023868635,61.028489958457264
2020,청학동,25283,3042,15624,6617,26.17173594905668,12.03180002373136,61.79646402721196
2021,동춘동,62348,12313,38043,11992,19.233977032142167,19.748829152498878,61.01719381535895
2021,선학동,17176,1896,10151,5129,29.861434559850952,11.03865859338612,59.09990684676293
2021,송도동,188924,49253,119303,20368,10.781054815693084,26.070271643623894,63.148673540683035
2021,연수동,56684,7339,35022,14323,25.268153270764238,12.947216145649564,61.7846305835862
2021,옥련동,39697,6589,23823,9285,23.389676801773433,16.598231604403356,60.012091593823214
2021,청학동,24815,2818,15026,6971,28.09187991134395,11.356034656457787,60.55208543219827
