base_date,emd_nm,school_nm,stdnt_num
2019,동춘동,고등학교,2340
2019,동춘동,어린이집,1735
2019,동춘동,유치원,1078
2019,동춘동,중학교,2189
2019,동춘동,초등학교,4236
2019,선학동,어린이집,629
2019,선학동,유치원,135
2019,선학동,중학교,393
2019,선학동,초등학교,630
2019,송도동,고등학교,4032
2019,송도동,대학교,12507
2019,송도동,어린이집,3879
2019,송도동,유치원,2490
2019,송도동,중학교,5287
2019,송도동,초등학교,12086
2019,연수동,고등학교,2669
2019,연수동,어린이집,1176
2019,연수동,유치원,897
2019,연수동,중학교,1344
2019,연수동,초등학교,2759
2019,옥련동,고등학교,2244
2019,옥련동,어린이집,1154
2019,옥련동,유치원,608
2019,옥련동,중학교,1127
2019,옥련동,초등학교,2903
2019,청학동,고등학교,545
2019,청학동,어린이집,816
2019,청학동,유치원,444
2019,청학동,중학교,598
2019,청학동,초등학교,594
2020,동춘동,고등학교,2243
2020,동춘동,어린이집,1721
2020,동춘동,유치원,1034
2020,동춘동,중학교,2158
2020,동춘동,초등학교,4293
2020,선학동,어린이집,508
2020,선학동,유치원,135
2020,선학동,중학교,397
2020,선학동,초등학교,609
2020,송도동,고등학교,3986
2020,송도동,대학교,12420
2020,송도동,어린이집,4422
2020,송도동,유치원,2664
2020,송도동,중학교,5961
2020,송도동,초등학교,13300
2020,연수동,고등학교,2574
2020,연수동,어린이집,1051
2020,연수동,유치원,885
2020,연수동,중학교,1399
2020,연수동,초등학교,2627
2020,옥련동,고등학교,2222
2020,옥련동,어린이집,971
2020,옥련동,유치원,629
2020,옥련동,중학교,1146
2020,옥련동,초등학교,2774
2020,청학동,고등학교,488
2020,청학동,어린이집,728
2020,청학동,유치원,485
2020,청학동,중학교,557
2020,청학동,초등학교,534
2021,동춘동,고등학교,2241
2021,동춘동,어린이집,1586
2021,동춘동,유치원,975
2021,동춘동,중학교,2139
2021,동춘동,초등학교,4266
2021,선학동,어린이집,469
2021,선학동,유치원,123
2021,선학동,중학교,394
2021,선학동,초등학교,595
2021,송도동,고등학교,4017
2021,송도동,대학교,12152
2021,송도동,어린이집,4630
2021,송도동,유치원,3222
2021,송도동,중학교,7065
2021,송도동,초등학교,15465
2021,연수동,고등학교,2581
2021,연수동,어린이집,1016
2021,연수동,유치원,865
2021,연수동,중학교,1410
2021,연수동,초등학교,2471
2021,옥련동,고등학교,2239
2021,옥련동,어린이집,907
2021,옥련동,유치원,654
2021,옥련동,중학교,1175
2021,옥련동,초등학교,2596
2021,청학동,고등학교,858
2021,청학동,어린이집,728
2021,청학동,유치원,558
2021,청학동,중학교,538
2021,청학동,초등학교,518
